tmsid,station_call_sign,station_name,notes
120245,PTVBAR,Bar Rescue,reported dead/generic guide data (issue #58)
120631,AFVTV,Always Funny: Pranks & Fails,reported dead/generic guide data (issue #58)
120974,VIZTHME,Today's Homeowner,reported dead/generic guide data (issue #58)
120981,PTVPBRR,PBR Ridepass,reported dead/generic guide data (issue #58)
121003,VIZCRCL,Crackle Classics,reported dead/generic guide data (issue #58)
121004,VIZCRSP,Crackle Spotlight,reported dead/generic guide data (issue #58)
121015,VIZIGN1,IGN1,reported dead/generic guide data (issue #58)
121097,XMVATK,America's Test Kitchen,reported dead/generic guide data (issue #58)
121205,VVHOL,Vevo Holiday,reported dead/generic guide data (issue #58)
121421,PPLUSTEST,TEST A,reported dead/generic guide data (issue #58)
121652,GRPVNE,TheGrapevine,reported dead/generic guide data (issue #58)
121952,XMVHRT,Heartland,reported dead/generic guide data (issue #58)
122107,VIZYNGH,Young Hollywood,reported dead/generic guide data (issue #58)
122275,I24UPD,i24NEWS Updates,reported dead/generic guide data (issue #58)
122390,VIZCSSL,Chicken Soup for the Soul,reported dead/generic guide data (issue #58)
123156,AXSTNST,AXS TV Now,reported dead/generic guide data (issue #58)
123444,TEEN,iCarly TV,reported dead/generic guide data (issue #58)
123479,PATTRN,Pattrn,reported dead/generic guide data (issue #58)
123793,PTVMTVD,More TV Drama,reported dead/generic guide data (issue #58)
123802,PTVDRMA,Pluto TV Drama,reported dead/generic guide data (issue #58)
123813,PTVMTVS,More TV Sitcoms,reported dead/generic guide data (issue #58)
123816,PTVCRDR,Pluto TV Crime Drama,reported dead/generic guide data (issue #58)
123819,PTVBLTB,Black Throwbacks,reported dead/generic guide data (issue #58)
124119,ARTSTWG,ARTS TWG+,reported dead/generic guide data (issue #58)
124379,2MMONDE,2M Monde,reported dead/generic guide data (issue #58)
125037,IGN1,IGN1,reported dead/generic guide data (issue #58)
125049,CRC0622,Crackle Classics,reported dead/generic guide data (issue #58)
127467,FT,FamilyTime,reported dead/generic guide data (issue #58)
128385,XTBFBTV,FilmRise Black TV,reported dead/generic guide data (issue #58)
128547,JC,Julia Child,reported dead/generic guide data (issue #58)
129941,MYST,Mystery Alley,reported dead/generic guide data (issue #58)
131816,TOHELE,The Emeril Lagasse Channel,reported dead/generic guide data (issue #58)
132038,MXEF,Maximum Effort Channel,reported dead/generic guide data (issue #58)
132713,PATTRNC,Pattrn,reported dead/generic guide data (issue #58)
132888,XAZTRIB,The Tribeca Channel,reported dead/generic guide data (issue #58)
133219,XSLVG,Vogue,reported dead/generic guide data (issue #58)
133220,XSLWR,Wired,reported dead/generic guide data (issue #58)
133622,PTVJEOP,Jeopardy! hosted by Alex Trebek,reported dead/generic guide data (issue #58)
133815,HIP,Hipstr,reported dead/generic guide data (issue #58)
133972,DRUUSA,Drag Race Universe,reported dead/generic guide data (issue #58)
134585,MXEFC,Maximum Effort Channel Canada,reported dead/generic guide data (issue #58)
134757,XSLFRFM,FilmRise Free Movies,reported dead/generic guide data (issue #58)
134758,ROCKY,Rocky,reported dead/generic guide data (issue #58)
134761,XSLFRTC,FilmRise True Crime,reported dead/generic guide data (issue #58)
134856,ASPTVL,Aspire TV Life,reported dead/generic guide data (issue #58)
136271,CROWN,Crown,reported dead/generic guide data (issue #58)
136409,GENT,Stash TV Movie Hub,reported dead/generic guide data (issue #58)
136410,KIDSST,The Playground,reported dead/generic guide data (issue #58)
136412,THRL,Stash TV Suspense TV,reported dead/generic guide data (issue #58)
136413,HIST,Stash TV Living History,reported dead/generic guide data (issue #58)
136449,WOMN,Stash TV Her TV,reported dead/generic guide data (issue #58)
136495,SOBCAN,Shades of Black,reported dead/generic guide data (issue #58)
137066,XPLFR21,21 Jump Street,reported dead/generic guide data (issue #58)
137073,XPLFRSC,FilmRise Sci-Fi,reported dead/generic guide data (issue #58)
137219,XPLTB,Tribeca Channel,reported dead/generic guide data (issue #58)
137540,DABLFST,Dabl FAST,reported dead/generic guide data (issue #58)
137575,TIME,Time,reported dead/generic guide data (issue #58)
138320,XSLFA,FilmRise Action,reported dead/generic guide data (issue #58)
138321,XMVFD,Food52,reported dead/generic guide data (issue #58)
138877,MGMACT,MGM Presents: Action,reported dead/generic guide data (issue #58)
139575,STARGAT,STARGATE,reported dead/generic guide data (issue #58)
141705,XSLTHS,Three Stooges+,reported dead/generic guide data (issue #58)
142440,AFFM,Almost Friday,reported dead/generic guide data (issue #58)
145441,XMVLOL,LOL! Network,reported dead/generic guide data (issue #58)
145442,LAWLESS,Lawless,reported dead/generic guide data (issue #58)
145517,FDTVX,FanDuel TV Extra,reported dead/generic guide data (issue #58)
145600,WNDRYSP,Wondery Sports,reported dead/generic guide data (issue #58)
145669,MPSCIFI,MGM Presents: Horror,reported dead/generic guide data (issue #58)
147374,XMVBOB,Bob The Builder,reported dead/generic guide data (issue #58)
147642,XPLCWC,Combat War Channel,reported dead/generic guide data (issue #58)
147880,XSLRM,The Real McCoys,reported dead/generic guide data (issue #58)
147884,XSLWPV,World's Wildest Police Videos,reported dead/generic guide data (issue #58)
148563,XSLLOD,Line of Duty,reported dead/generic guide data (issue #58)
148726,XSMHOP,All Babies Channel,reported dead/generic guide data (issue #58)
148727,XSMBPOP,BatteryPOP,reported dead/generic guide data (issue #58)
149167,XAZWWP,World's Wildest Police Videos,reported dead/generic guide data (issue #58)
149441,MEATEAT,MeatEater,reported dead/generic guide data (issue #58)
151350,XALCOW,Western Bound,reported dead/generic guide data (issue #58)
151997,COMPLX,Complex,reported dead/generic guide data (issue #58)
152647,BARNEY,Barney and Friends,reported dead/generic guide data (issue #58)
152974,NITROTV,NitroCircusTV,reported dead/generic guide data (issue #58)
155370,JTVPLUS,Jewelry Television,reported dead/generic guide data (issue #58)
160302,DROOL,Drool,reported dead/generic guide data (issue #58)
160930,HELOIPO,Hello Inspo,reported dead/generic guide data (issue #58)
165045,MDHH,Million Dollar Dream Home,reported dead/generic guide data (issue #58)
167696,XMVYVF,The Yorkshire Vet & Friends,reported dead/generic guide data (issue #58)
169610,WBTVOTT,On The Telly,reported dead/generic guide data (issue #58)
177860,SAMURAI,24/7 SAMURAI-SHINOBI,reported dead/generic guide data (issue #58)
178858,SAYWHAT,CUT,reported dead/generic guide data (issue #58)
180799,FRSCP,FARSCAPE,reported dead/generic guide data (issue #58)
181859,TVPALF,ALF,reported dead/generic guide data (issue #58)
182209,FMLYHR,Family Hour,reported dead/generic guide data (issue #58)
183132,TVPHTH,Highway to Heaven,reported dead/generic guide data (issue #58)
183200,SHOWCSE,Samsung Showcase,reported dead/generic guide data (issue #58)
190749,FLWME,Follow Me,reported dead/generic guide data (issue #58)
194280,CBSADN1,CBS Net ADN 1,reported dead/generic guide data (issue #58)
194313,CBSADN2,CBS Net ADN 2,reported dead/generic guide data (issue #58)
194314,CBSADN3,CBS Net ADN 3,reported dead/generic guide data (issue #58)
194315,CBSADN4,CBS Net ADN 4,reported dead/generic guide data (issue #58)
194316,CBSADN5,CBS Net ADN 5,reported dead/generic guide data (issue #58)
194317,CBSADN6,CBS Net ADN 6,reported dead/generic guide data (issue #58)
194346,CBSADN7,CBS Net ADN 7,reported dead/generic guide data (issue #58)
194347,CBSADN8,CBS Net ADN 8,reported dead/generic guide data (issue #58)
